"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery_Cell","","","","Battery:BatteryHolder_Multicomp_BC-2001_1x2032","~"
"C1,C4,C5,C6","4","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2","1","470nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3","1","1uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D3","1","BAT54S","","","","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds11005.pdf"
"R1","1","470k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R2,R3","2","10k","","","","Potentiometer_SMD:Potentiometer_Bourns_3214G_Horizontal","~"
"R4","1","1k","","","","Resistor_SMD:R_1206_3216Metric","~"
"SW1","1","SW_SPST","","","","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm","~"
"TP1","1","REF_OUT","","","","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","~"
"TP2","1","TEMP","","","","TestPoint:TestPoint_Pad_2.5x2.5mm","~"
"TP4","1","GND","","","","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","~"
"U1","1","SN74LVC2G14DBV","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.ti.com/lit/ds/symlink/sn74lvc2g14.pdf"
"U2","1","REF03GP","","","","Package_DIP:PowerIntegrations_SMD-8","https://www.analog.com/media/en/technical-documentation/data-sheets/REF01_02_03.pdf"
